calendar_month,mean_observed_frac_of_aoi,pooled_wet_frac_native,n_observed_px,n_unobserved_px,n_dry_px
1,0.788288,0.020718,15765100,4438228,15438474
2,0.784304,0.087994,15685417,4415827,14305197
3,0.822611,0.056471,16451521,3649723,15522492
4,0.930839,0.015821,18616000,1485244,18321471
5,0.966983,0.008773,19338857,660303,19169192
6,0.863103,0.006897,17261342,2941986,17142288
7,0.899719,0.006117,17993626,2209702,17883561
8,0.901708,0.005059,18033398,2169930,17942176
9,0.910548,0.003866,18210200,1891044,18139791
10,0.952942,0.002977,19058040,1043204,19001308
11,0.922442,0.002335,18448064,1653180,18404981
12,0.844782,0.005545,16894939,3206305,16801260
