month,is_inserted,aoi_px,observed_px,observed_frac_of_aoi,p_native_wet_frac,p_resolved_wet_frac
1987-01,True,602063,0,0.0,nan,0.0
1987-02,True,602063,0,0.0,nan,0.0
1987-03,True,602063,0,0.0,nan,0.0
1987-04,True,602063,0,0.0,nan,0.0
1987-05,False,499979,489143,0.9783270897377689,0.00768078046706178,0.007514315601255253
1987-06,True,602063,0,0.0,nan,0.0
1987-07,True,602063,0,0.0,nan,0.0
1987-08,True,602063,0,0.0,nan,0.0
1987-09,False,499979,489238,0.9785170977181041,0.00497508370159309,0.004868204464587513
1987-10,False,499979,488984,0.978009076381208,0.004353925690820149,0.004258178843511428
1987-11,False,499979,489238,0.9785170977181041,0.0035320232688384793,0.0034561451580966403
1987-12,False,499979,489234,0.97850909738209,0.006790206731339196,0.006644279059720508
1988-01,False,499979,489249,0.978539098642143,0.009563637329866795,0.009358393052508206
1988-02,False,499979,449352,0.8987417471533804,0.007110238743791059,0.006390268391272433
1988-03,False,499979,489204,0.9784490948619842,0.006798799682749937,0.006652279395734621
1988-04,False,499979,489225,0.9784910966260583,0.0045725381981705756,0.004474187915892468
1988-05,False,499979,356883,0.7137959794311362,0.0005267832875199995,0.0003760157926632919
1988-06,False,499979,489124,0.9782890881417019,0.0010815253391777955,0.0010580444378663905
1988-07,False,499979,489127,0.9782950883937125,0.0009588511777104924,0.0009380393976547015
1988-08,False,499979,489186,0.9784130933499207,0.0006521036987975943,0.0006380267971254793
1988-09,False,499979,489247,0.9785350984741359,0.0003229452607782981,0.0003160132725574474
1988-10,False,499979,489248,0.9785370985581394,0.0002064392700634443,0.00020200848435634298
1988-11,False,499979,466838,0.9337152160390736,6.426212090703841e-06,6.000252010584444e-06
1988-12,False,499979,421191,0.8424173815300242,0.007068052261325622,0.005954250078503297
1989-01,False,499979,489239,0.9785190978021077,0.006240303818787954,0.006106256462771437
1989-02,False,499979,489226,0.9784930967100618,0.00451325154427606,0.004416185479790152
1989-03,False,499979,488433,0.976907030095264,0.005280151013547406,0.005158216645099094
1989-04,False,499979,489219,0.9784790961220371,0.11156353289631024,0.1091625848285628
1989-05,False,499979,489175,0.9783910924258818,0.004521899115858333,0.004424185815804264
1989-06,False,499979,489087,0.9782150850335715,0.0024126586885359863,0.002360099124163215
1989-07,False,499979,489127,0.9782950883937125,0.00301966564920767,0.002954124073211075
1989-08,False,499979,489171,0.9783830920898677,0.0013001588401601893,0.0012720534262439021
1989-09,False,499979,489249,0.978539098642143,0.0006193165443363196,0.0006060254530690289
1989-10,False,499979,485671,0.9713827980775193,0.0005991710437724304,0.0005820244450266912
1989-11,False,499979,489207,0.9784550951139948,0.0005192076155901285,0.0005080213368961496
1989-12,False,499979,489243,0.9785270981381218,0.0004455863446181141,0.0004360183127691363
1990-01,True,602063,0,0.0,nan,0.0
1990-02,False,499979,89237,0.17848149622284135,0.0018714210473234196,0.00033401402858920077
1990-03,False,499979,320580,0.6411869298510537,0.00471021273940982,0.003020126845327504
1990-04,False,499979,489150,0.9783410903257936,0.00212000408872534,0.0020740871116586897
1990-05,False,499979,489146,0.9783330899897795,0.0022856161555036736,0.0022360939159444698
1990-06,False,499979,489052,0.978145082093448,0.0009017445997562631,0.0008820370455559133
1990-07,False,499979,489118,0.9782770876376807,0.00044570021957891553,0.0004360183127691363
1990-08,False,499979,489187,0.9784150934339242,0.00030458699842800404,0.0002980125165256941
1990-09,False,499979,489212,0.9784650955340124,0.00028004219029786675,0.0002740115084833563
1990-10,False,499979,489235,0.9785110974660935,0.00012059644138297547,0.00011800495620816074
1990-11,False,499979,489237,0.9785150976341006,0.0,0.0
1990-12,False,499979,487264,0.9745689318951396,0.0005069120640966703,0.0004940207488714526
1991-01,False,499979,0,0.0,nan,0.0
1991-02,False,499979,11337,0.022674952347998614,0.03360677427890976,0.0007620320053442245
1991-03,False,499979,489236,0.9785130975500971,0.018359237668528074,0.017964754519689825
1991-04,False,499979,380518,0.7610679648545239,0.005334833043377712,0.00406017052716214
1991-05,False,499979,489168,0.9783770918378571,0.009763516828574232,0.009552401200850436
1991-06,False,499979,477269,0.9545780922798758,0.007356438402661811,0.007022294936387328
1991-07,False,499979,489107,0.9782550867136419,0.008210882281382193,0.008032337358169044
1991-08,False,499979,489199,0.9784390944419665,0.006817266592940705,0.006670280151766374
1991-09,False,499979,489193,0.9784270939379454,0.0060507815933588584,0.0059202486504433185
1991-10,False,499979,489250,0.9785410987261465,0.0053387838528359734,0.005224219417215523
1991-11,False,499979,489242,0.9785250980541182,0.004913723678670269,0.004808201944481668
1991-12,False,499979,489246,0.9785330983901324,0.0040715713567407805,0.0039841673350280715
1992-01,False,499979,489224,0.9784890965420547,0.004128987948260919,0.0040401696871268595
1992-02,False,499979,479794,0.9596283043887843,0.0049021038195558924,0.004704197576298205
1992-03,False,499979,101743,0.20349454677096437,0.005572864963683005,0.00113404763000046
1992-04,False,499979,489200,0.9784410945259701,0.0029476696647587897,0.0028841211330875895
1992-05,False,499979,488131,0.9763030047261985,0.0031303072330993113,0.0030561283573910104
1992-06,False,499979,489138,0.9783170893177513,0.0024716951044490513,0.002418101560265531
1992-07,False,499979,489126,0.978293088309709,0.0017009932001161255,0.0016640698909354192
1992-08,False,499979,489184,0.9784090931819136,0.0012612840975992673,0.0012340518301768675
1992-09,False,499979,20739,0.041479742149170266,0.0,0.0
1992-10,False,499979,489161,0.9783630912498325,0.0003025588712100924,0.00029601243252216593
1992-11,False,499979,489251,0.97854309881015,0.00021461376675775828,0.00021000882037045557
1992-12,False,499979,0,0.0,nan,0.0
